factor,axis,stratum,bin_index,bin_left,bin_right,right_closed,sample_count,unsupported_count,correct_count,accuracy,error_rate,mean_raw_value,mean_reliability,mean_pred_confidence,mean_entropy,nll,brier,reliability_gap
semantic,reliability,all,0,0.0,0.1,False,0,0,0,,,,,,,,,
semantic,reliability,all,1,0.1,0.2,False,0,0,0,,,,,,,,,
semantic,reliability,all,2,0.2,0.30000000000000004,False,0,0,0,,,,,,,,,
semantic,reliability,all,3,0.30000000000000004,0.4,False,0,6,0,,,,,,,,,
semantic,reliability,all,4,0.4,0.5,False,24,65,8,0.3333333333333333,0.6666666666666667,0.4771013042956535,0.4771013042956535,0.34989289482995883,1.5778925571345168,1.575042988340128,0.7784661790177755,0.1437679709623202
semantic,reliability,all,5,0.5,0.6000000000000001,False,125,204,65,0.52,0.48,0.5595161229113734,0.5595161229113734,0.44550939185087374,1.3291986323654588,1.2036491112603633,0.6297636836784475,0.03951612291137341
semantic,reliability,all,6,0.6000000000000001,0.7000000000000001,False,461,477,312,0.6767895878524945,0.32321041214750545,0.6599718011374277,0.6599718011374277,0.5526335517913656,1.026064835519245,0.810091535281541,0.46270323569576577,0.01681778671506684
semantic,reliability,all,7,0.7000000000000001,0.8,False,1401,489,1120,0.7994289793004996,0.2005710206995004,0.7593798732703217,0.7593798732703217,0.6704876466338558,0.7260922817030607,0.60858197753242,0.3375571408985763,0.04004910603017786
semantic,reliability,all,8,0.8,0.9,False,2168,300,2093,0.9654059040590406,0.03459409594095941,0.8539889689038264,0.8539889689038264,0.8628154813511517,0.44060105928520826,0.22140569847458452,0.08830576151038996,0.11141693515521423
semantic,reliability,all,9,0.9,1.0,True,122082,228,122065,0.9998607493324159,0.0001392506675841343,0.9968429391633739,0.9968429391633739,0.9981980465120431,0.009526707252201465,0.0022749615029074126,0.00035624563615042817,0.0030178101690420123
semantic,entropy,all,0,0.0,0.2564949357461537,False,121626,195,121616,0.9999177807376712,8.221926232876431e-05,0.008516273238136052,0.9971777874555855,0.9984498833969216,0.008516273238136052,0.0018586462348148568,0.00022491824557046273,0.0027399932820857398
semantic,entropy,all,1,0.2564949357461537,0.5129898714923073,False,2044,242,1993,0.9750489236790607,0.02495107632093929,0.3708173809982181,0.8771146210229954,0.8951584937717044,0.3708173809982181,0.16655826795212028,0.06012818777069942,0.09793430265606529
semantic,entropy,all,2,0.5129898714923073,0.769484807238461,False,1560,382,1335,0.8557692307692307,0.14423076923076927,0.634795893310413,0.7896346344054699,0.7282417486829355,0.634795893310413,0.4914071571586222,0.26066462927434736,0.06613459636376084
semantic,entropy,all,3,0.769484807238461,1.0259797429846147,False,664,391,516,0.7771084337349398,0.22289156626506024,0.881258632179903,0.7079592097310442,0.621631795919688,0.881258632179903,0.6795202666355706,0.37525131360927544,0.06914922400389556
semantic,entropy,all,4,1.0259797429846147,1.2824746787307684,False,269,361,164,0.6096654275092936,0.39033457249070636,1.125912376610271,0.6268832687340566,0.5010885923463094,1.125912376610271,0.9211992913771613,0.526176069723808,0.017217841224762997
semantic,entropy,all,5,1.2824746787307684,1.538969614476922,False,79,142,32,0.4050632911392405,0.5949367088607596,1.3954102157262602,0.5375742293246789,0.4244958352036592,1.3954102157262602,1.3892785215803551,0.7109762951539776,0.1325109381854384
semantic,entropy,all,6,1.538969614476922,1.7954645502230757,False,19,50,7,0.3684210526315789,0.631578947368421,1.5924663287753185,0.47227169397268737,0.3412168188428429,1.5924663287753185,1.5902674714611376,0.7787031158660962,0.10385064134110844
semantic,entropy,all,7,1.7954645502230757,2.0519594859692294,False,0,6,0,,,,,,,,,
semantic,entropy,all,8,2.0519594859692294,2.308454421715383,False,0,0,0,,,,,,,,,
