factor,axis,stratum,bin_index,bin_left,bin_right,right_closed,sample_count,unsupported_count,correct_count,accuracy,error_rate,mean_raw_value,mean_reliability,mean_pred_confidence,mean_entropy,nll,brier,reliability_gap
semantic,reliability,all,0,0.0,0.1,False,0,0,0,,,,,,,,,
semantic,reliability,all,1,0.1,0.2,False,0,0,0,,,,,,,,,
semantic,reliability,all,2,0.2,0.30000000000000004,False,0,0,0,,,,,,,,,
semantic,reliability,all,3,0.30000000000000004,0.4,False,532,0,24,0.045112781954887216,0.9548872180451128,0.37214541147958424,0.37214541147958424,0.3021766661799523,1.894606145182021,3.6673016630956634,1.0795969886264154,0.327032629524697
semantic,reliability,all,4,0.4,0.5,False,1642,0,614,0.37393422655298414,0.6260657734470159,0.4630447324390639,0.4630447324390639,0.3779183443873031,1.6203094923717771,1.910495111413697,0.7814138590951838,0.08911050588607977
semantic,reliability,all,5,0.5,0.6000000000000001,False,4141,34,1844,0.44530306689205507,0.554696933107945,0.5549250937120134,0.5549250937120134,0.4544230822518218,1.343052464594853,1.4454249996056359,0.6924176652127988,0.10962202681995831
semantic,reliability,all,6,0.6000000000000001,0.7000000000000001,False,6108,72,3671,0.6010150622134905,0.39898493778650945,0.6500109568494713,0.6500109568494713,0.5640171535059558,1.0561225545265018,1.042697870511878,0.5468817243809247,0.04899589463598075
semantic,reliability,all,7,0.7000000000000001,0.8,False,12534,402,8571,0.6838200095739588,0.31617999042604117,0.7549441234621634,0.7549441234621634,0.6773792772510532,0.7394775447857621,0.7451382842811035,0.43999774940352704,0.07112411388820461
semantic,reliability,all,8,0.8,0.9,False,12285,11,10663,0.8679690679690679,0.13203093203093208,0.8510786314902554,0.8510786314902554,0.8616857562306612,0.44938325702513215,0.5080288469013255,0.2343706203164668,0.0168904364788125
semantic,reliability,all,9,0.9,1.0,True,89494,15,88558,0.989541198292623,0.010458801707377008,0.9927515886684485,0.9927515886684485,0.9956158840772449,0.021872715279387844,0.06662648977289028,0.02036880371416802,0.0032103903758254893
semantic,entropy,all,0,0.0,0.2564949357461537,False,88083,15,87295,0.9910538923515321,0.008946107648467927,0.017757968697285683,0.9941151768362275,0.9966189178880798,0.017757968697285683,0.060237032512230636,0.017525181904813565,0.003061284484695448
semantic,entropy,all,1,0.2564949357461537,0.5129898714923073,False,10159,1,9080,0.8937887587360961,0.10621124126390391,0.38788387501647426,0.87145894603927,0.890292815259473,0.38788387501647426,0.46876413992677113,0.2000387519406421,0.0223298126968261
semantic,entropy,all,2,0.5129898714923073,0.769484807238461,False,11516,384,8285,0.7194338311913859,0.28056616880861407,0.648654481651336,0.7850420290756546,0.73009198483234,0.648654481651336,0.6773620262810756,0.3962296162246096,0.06560819788426864
semantic,entropy,all,3,0.769484807238461,1.0259797429846147,False,7063,69,4774,0.6759167492566898,0.32408325074331024,0.8755142310857068,0.7098628500176888,0.6311227431805061,0.8755142310857068,0.8617185519649735,0.47419024842824803,0.03394610076099902
semantic,entropy,all,4,1.0259797429846147,1.2824746787307684,False,4939,55,2696,0.5458594857258554,0.4541405142741446,1.155103176731833,0.6172097131797731,0.5223235818032481,1.155103176731833,1.1703437046076333,0.5971551806626868,0.07135022745391773
semantic,entropy,all,5,1.2824746787307684,1.538969614476922,False,3086,10,1335,0.43259883344134803,0.567401166558652,1.4026816508513062,0.535164544377758,0.436426181593057,1.4026816508513062,1.4760067735110438,0.7038687020402175,0.10256571093640993
semantic,entropy,all,6,1.538969614476922,1.7954645502230757,False,1309,0,445,0.33995416348357527,0.6600458365164248,1.6342798345142842,0.45841509295453114,0.3725350172528319,1.6342798345142842,1.985314775603077,0.8027832890760267,0.11846092947095588
