factor,axis,stratum,bin_index,bin_left,bin_right,right_closed,sample_count,unsupported_count,correct_count,accuracy,error_rate,mean_raw_value,mean_reliability,mean_pred_confidence,mean_entropy,nll,brier,reliability_gap
semantic,reliability,all,0,0.0,0.1,False,0,0,0,,,,,,,,,
semantic,reliability,all,1,0.1,0.2,False,0,0,0,,,,,,,,,
semantic,reliability,all,2,0.2,0.30000000000000004,False,0,0,0,,,,,,,,,
semantic,reliability,all,3,0.30000000000000004,0.4,False,0,0,0,,,,,,,,,
semantic,reliability,all,4,0.4,0.5,False,0,1,0,,,,,,,,,
semantic,reliability,all,5,0.5,0.6000000000000001,False,12,48,4,0.3333333333333333,0.6666666666666667,0.5778078198106366,0.5778078198106366,0.4458328777807489,1.2740018368258745,1.1490396257260846,0.6559017292761228,0.24447448647730324
semantic,reliability,all,6,0.6000000000000001,0.7000000000000001,False,242,277,145,0.5991735537190083,0.40082644628099173,0.6623131623691574,0.6623131623691574,0.538541668380341,1.0189995731817032,0.828517461152355,0.49565056908071087,0.06313960865014911
semantic,reliability,all,7,0.7000000000000001,0.8,False,1352,446,1157,0.8557692307692307,0.14423076923076927,0.7654778114151292,0.7654778114151292,0.6626224662259613,0.7076912199073392,0.48094435707292454,0.28435198055639166,0.09029141935410157
semantic,reliability,all,8,0.8,0.9,False,2270,193,2239,0.9863436123348017,0.013656387665198277,0.8526602970911539,0.8526602970911539,0.8529715364977788,0.4446104427113161,0.1826528946863194,0.06369104532288726,0.13368331524364785
semantic,reliability,all,9,0.9,1.0,True,71927,96,71923,0.9999443880601165,5.5611939883459804e-05,0.9951297892625587,0.9951297892625587,0.9971082767133551,0.01469628694317935,0.0030954928391269455,0.0002885525658961042,0.004814598797557856
semantic,entropy,all,0,0.0,0.2564949357461537,False,71441,80,71439,0.9999720048711525,2.7995128847546624e-05,0.012903682167688054,0.995723841560213,0.9975690724225977,0.012903682167688054,0.002548410859601136,0.00017943116547972036,0.004248163310939468
semantic,entropy,all,1,0.2564949357461537,0.5129898714923073,False,2120,127,2105,0.9929245283018868,0.007075471698113178,0.3721703198183907,0.8766662698718113,0.8899760160084507,0.3721703198183907,0.13233839085557825,0.03614803184719453,0.11625825843007553
semantic,entropy,all,2,0.5129898714923073,0.769484807238461,False,1722,406,1546,0.8977932636469221,0.10220673635307786,0.6334795392247088,0.7900708617210672,0.7132413848688101,0.6334795392247088,0.3967121760833956,0.2209834413633439,0.10772240192585492
semantic,entropy,all,3,0.769484807238461,1.0259797429846147,False,400,242,306,0.765,0.235,0.8755640012322644,0.7098463566610264,0.6141757046913084,0.8755640012322644,0.6162880072542471,0.3584866918146137,0.05515364333897366
semantic,entropy,all,4,1.0259797429846147,1.2824746787307684,False,116,179,69,0.5948275862068966,0.4051724137931034,1.1011431782272587,0.6350915472188985,0.4923384901931123,1.1011431782272587,0.9109044973030306,0.5358182399004069,0.040263961012001914
semantic,entropy,all,5,1.2824746787307684,1.538969614476922,False,4,27,3,0.75,0.25,1.3367431285867355,0.5570159480952777,0.43264781665184515,1.3367431285867355,0.9652889022393877,0.5149703700475413,0.19298405190472234
semantic,entropy,all,6,1.538969614476922,1.7954645502230757,False,0,0,0,,,,,,,,,
semantic,entropy,all,7,1.7954645502230757,2.0519594859692294,False,0,0,0,,,,,,,,,
semantic,entropy,all,8,2.0519594859692294,2.308454421715383,False,0,0,0,,,,,,,,,
semantic,entropy,all,9,2.308454421715383,2.5649493574615367,True,0,0,0,,,,,,,,,
range,reliability,all,0,0.0,0.1,False,3390,167,3321,0.9796460176991151,0.02035398230088492,0.04553295799311738,0.04553295799311738,0.9156040067622222,0.26050224364603214,0.11297010509232977,0.048697520168800454,0.9341130597059977
